Code,Technical definition ,Informal explanation ,KM suggestions ,Notes 
0,Inanimate ,"It, a thing ","One of two groups of nouns, often ‘it’ or ‘a thing.’ ",
0Obv,Inanimate obviative,"the other thing, disambiguation of inanimate third persons","Noun inflection marking third person inanimate thing as backgrounding to differentiate between two inanimate third person things. For example, “The keys on the table.” The table is backgrounded compared to the focus placed on the keys. ",
0Pl,Inanimate plural,many things,"Two or more things belonging to the inanimate group of nouns, might be “many things.” ",
1,First person,I/me/my…,"Pronouns referring to oneself. For example, “I teach high school. My students emailed me.” ",
1Pl,First person plural,we/us/our,"Not inclusive (lister is removed from the group reference) for example, “We (not you) saw you at the park. You told us to visit the pond.” ",
2,Second person,you/your…,"Pronouns referring to the listener (singular). For example, “You are a student. Where do you go to school?” ",
21Pl,First person plural inclusive,we/us/our ... including you,"The listener is included. For example, “Let’s tell someone what we just found.” The speaker is including the listener as part of the plural pronoun ‘we.’",
2Pl,Second person plural,youse/youse's,"Second person addressing a group (two or more) like forms in some varieties of English such as: youse/youse’s, y’all/y’all’s, you all/ you all’s, or you guys/you guy’s. ",
3,Third person,he/she/him/her/his/hers,"Pronouns referring to someone or something that isn’t the speaker or listener: he/him, she/her, it/its, and they/them (as a gender-neutral third person singular pronoun).",
3Obv,Third person obviative,"the other one, disambiguation of third persons",The third person that is not the focus is marked with inflection and becomes backgrounded to keep the attention on the (proximate) focused third person.,
3ObvPlus,Third person further obviative,"the other _other_ one, disambiguation of third persons","A way of distinguishing third persons. The noun (3rd person) with the obviative suffix is backgrounded. Further obviation makes another third person even further defocused. For example, “It was my dog that chased the squirrel past some kids!” The dog is most prominent, then the squirrel, and then the kids. ",
3PL,Third person plural,they/them/theirs,"Pronouns referring to the third person for example, “The students were nervous. They had a test. I saw them cramming before class.” ",
Adv,Adverbial ,,"There are time adverbs like ‘waabang,’ ‘tomorrow;’ location or place adverbs like ‘shaweyhiing,’ ‘alongside;’ manner adverbs like ‘gaawaanh,’ ‘barley;’ and circumstance adverbs like ‘njida,’ ‘on purpose,’ among other types of adverbs (Valentine 2001:138-147). ","This might be wrong… I had trouble finding a section on ""adverbials"" in the grammar and wasn't sure if it's just one thing in Nishnaabemwin. "
AntPass,Antipassive verb,"A X's (B), aka actor-focus","The agent or “doer” of the verb stays the subject, but something like an object is removed (a semantic role is decreased), for example, “I ate (lunch).” An example is ‘gnaadmaage,’ ‘you (sg.) help’ (Valentine 2001:687). ",
Benef,Benefactive,A X's for B,"Someone benefits from an action similar to “for” in English as in, “We carried boxes for her.” A X's for B.",
Caus,Causative,A makes B do X,"Inflection indicating A makes B do X. For example, “I made my dog sit before getting a treat.” ",
Cnj,Conjunct order,"used in questions, relative clauses, if-then statements","Verbal inflection for forming questions (who, what, etc., but not yes/no questions), if-then statements, and relative clauses (Valentine 2001:158). Verbs in conjunct order are subordinate to (supports) a main verb. Similar to, “I asked her to help me,” where ‘help’ supports the main verb ‘asked’ in English. ",
Con,Contemptive,dislike/disdain/teasing for X,"The contemptive gives nouns a degraded sense, expressing a speaker’s negative attitude towards them. Valentine gives examples like, “of no great value,” “just an ordinary,” and “I shouldn’t buy that crummy table” (Valentine 2001:185). ",
Conj,Conjunction,"and, or, but","Elements like ‘and,’ ‘or,’ and ‘but,’ that link phrases or words.  ‘Miinwa’ and ‘gye’ are two common examples of coordinating words (coordinative adverbs) (Valentine 2001:996).",
