Code,Technical definition ,Informal explanation ,KM suggestions ,Notes
0PlHead,Relative clause about an inanimate plural,"those that X, see Focus tags in Nishnaabemwin high level explanation",A relative clause about more than one inanimate thing. Similar to saying ‘those that’ (do something). ,
0PlObj,Inanimate plural object,Y Xes those,"More than one inanimate thing is the object (thing acted on by verb). Similar to ‘those’ or ‘things’ in the English sentences, “She fixed those” or “She repairs things.” ",
0PlObvHead,Relative clause about an inanimate plural obviative,"those others that X, see Focus tags in Nishnaabemwin high level explanation",A relative clause about inanimate things that have been backgrounded. Similar to saying ‘those other ones that’ (do something).,
0PlObvSubj,Inanimate plural obviative subject,those others X,"Multiple inanimate things that are the subject (doer or focus) of the verb (action) but are backgrounded or defocused like saying, “Those other ones float” instead of “They float.” ",
0PlSubj,Inanimate plural subject,those things X,"Inanimate nouns (things, those) that are the subject (doer or focus) of the verb (action) like in the English examples, “Those float” or “The things float.”",
0SgHead,Relative clause about an inanimate singular,"the thing that Xes, see Focus tags in Nishnaabemwin high level explanation",A relative clause about one inanimate thing (singular). Similar to saying ‘the thing that’ (does something).,
0SgObj,Inanimate singular object,Y Xes it,When an inanimate singular noun is the object of a verb like ‘it’ in “I kept it.” ,
0SgObvHead,Relative clause about an inanimate singular obviative,"the other thing that Xes, see Focus tags in Nishnaabemwin high level explanation","When a relative clause is about an inanimate singular noun (it, thing) that is backgrounded (obviated). Like, ‘the other thing that’ in “That thing and the other thing that plays music.” ",
0SgObvSubj,Inanimate singular obviative subject,the other thing Xes,"When an inanimate singular noun that is backgrounded (obviated) is the subject. Similar to saying, ‘the other thing’ in “The other thing worked better.” ",
0SgSubj,Inanimate singular subject,it Xes,When an inanimate singular noun is the subject of a verb like ‘it’ in “It keeps time.” ,
1Sg,First person singular,I,"Oneself, expressed by saying ‘I,’ or ‘me.’ ",
1SgObj,First person singular object,Y Xes me,"When the first person (I, me, myself) is acted on by the verb like in the English example, “The dog jumped on me.” ",
1SgPoss,First person singular possessive,mine,"When the first person (I, me, myself) possesses something. For example, “my house.”",
1SgSubj,First person singular subject,I X,"Oneself (I) is the subject (doer) of the verb (action). For example, “I fish.” ",
2Pl,Second person plural,youse,"Second person addressing a group (two or more) like forms in some varieties of English such as: youse/youse’s, y’all/y’all’s, you all/ you all’s, or you guys/you guy’s.",
2PlObj,Second person plural object,Y Xes youse,"Two or more second persons (‘you guys,’ ‘y’all,’ or ‘youse’) are the object (thing acted on by the verb) like in, “I saw y’all.”",
2PlPoss,Second person plural possessive,youse's,"Two or more second persons (‘you guys,’ ‘y’all,’ or ‘youse’) possess something. For example, “You guys’ house.” ",
2PlSubj,Second person plural subject,Youse X,"Two or more second persons (‘you guys,’ ‘y’all,’ or ‘youse’) are the subject (doer) of the verb. For example, “Y’all fish.” ",
2Sg,Second person singular,you,"Second person, you. ",
2SgObj,Second person singular object,Y Xes you,"Second person, you as the object of the verb like in the English example, “I saw you.” ",
2SgPoss,Second person singular possessive,your,"Second person (you) possesses something. For example, ‘your’ in “I like your dog.” ",
2SgSubj,Second person singular subject,you X,"Second person is the subject (doer) of the verb. For example, “You camped up north.” ",
3Pl,Third person plural,the other guys,"‘They’ or ‘the other guys’ like in the examples, “They fished” and “The other guys fished.” ",
3PlObvHead,Relative clause about a third person plural obviative,the others who X,"A relative clause about a third person plural (they) that is backgrounded or defocused (obviated). Similar to saying, “the others who went.” ",
3PlObvObj,Third person plural obviative object,Y Xes the other ones,"When a backgrounded or defocused (obviated) third person plural (they) is the object of a verb. For example, ‘the other ones’ in “I saw them and the other ones.” ",
3PlObvPoss,Third person plural obviative possessive,the other guys's,"When a backgrounded or defocused (obviated) third person plural (they) possesses something. Similar to saying, “the other guys’s.” ",
3PlObvSubj,Third person plural obviative subject,the other ones X,"When a backgrounded or defocused (obviated) third person plural (they) is the subject (doer) of a verb. For example, ‘the other ones’ in “The other ones told me.”",
3PlProx,Third person plural proximate,they/them,A third person plural (they) that is the focus (proximate) while another third person is defocused like ‘they’ in “They helped those other guys.” ,
3PlProxHead,Relative clause about a third person plural proximate,they who X,A relative clause about a third person plural (they) that is the focus (proximate) while another third person is defocused. Similar to ‘they who’ in “They who helped those other guys.” ,
3PlProxObj,Third person plural proximate object,Y Xes them,"When a third person plural (they) that is the focus (proximate) while another third person is defocused is the object of a verb. For example, ‘them’ in “I saw them and the other ones.”",
3PlProxPoss,Third person plural proximal possessive,theirs,"When a third person plural (they) that is the focus (proximate) while another third person is defocused possesses something. For example, ‘their’ in “Their dog was nicer than those other guys’s dogs.” ","Just flagging potential typo in the technical definition ""proximal"""
3PlProxSubj,Third person plural proximate subject,they X,"When a third person plural (they) that is the focus (proximate) while another third person is defocused is the subject (doer) of the verb. For example, ‘they’ in “They knew those other guys.”",
3Sg,Third person singular,the other guy,"Third person singular, ‘he,’ ‘she,’ ‘it.’ ",A little confused by the original informal definition. This isn't meant to be obviative right?
3SgObvHead,Relative clause about a third person singular obviative,the other one who Xes,"When a third person singular (s/he, it) is backgrounded or defocused in a relative clause. For example, ‘the other one who’ in “I want to thank her and the other one who helped.” ",
3SgObvObj,Third person singular obviative object,Y Xes the other one,"A third person singular (s/he, it) is backgrounded or defocused as the object of a verb. For example, ‘the other one’ in “I talked to him and the other one.”",
3SgObvPoss,Third person singular obviative possessor,the other guy's,"When a backgrounded or defocused (obviated) third person (s/he, it) possesses something. Similar to saying, “the other guy’s.”",
3SgObvSubj,Third person singular obviative,the other one Xes,"A third person singular (s/he, it) is backgrounded or defocused like saying ‘the other one.’ ",
3SgProx,Third person singular proximate,he/she/him/her,"A third person (s/he, it) that is the focus (proximate) while another third person is defocused like ‘he’ in “He helped those other guys.”",
3SgProxHead,Relative clause about a third person singular proximate,the one who Xes,"A relative clause about a third person (s/he, it) that is the focus (proximate) while another third person is defocused. Similar to ‘the one who’ in “The one who helped that other guy.”",
3SgProxObj,Third person singular proximate object,Y Xes him/her,"When a third person (s/he, it) that is the focus (proximate) while another third person is defocused is the object. For example, ‘her’ in “I saw her and the other one.”",
3SgProxPoss,Third person singular proximal possessive,his/hers,"When a third person (s/he, it) that is the focus (proximate) while another third person is defocused possesses something. For example, ‘his’ in “His car was newer than the other guy’s.” ","Just flagging potential typo in the technical definition ""proximal"""
3SgProxSubj,Third person singular proximate subject,He/she Xes,"When a third person (s/he, it) that is the focus (proximate) while another third person is defocused is the subject (doer). For example, ‘he’ in “He and the other guy fish together.”",
ADVConj,A conjunction,"and, or, but","Words like ‘and,’ ‘or,’ and ‘but’ that link words, phrases, or clauses. ‘Miinwa’ and ‘gye’ are two common examples of coordinating words (coordinative adverbs) (Valentine 2001:996).",
ADVDeg,A degree adverb,"extremely, partially","Adverbs expressing degree like, ‘really,’ ‘only,’ and ‘extremely’ (Valentine 2001:145). ",
ADVDisc,A discourse marker,so,"Things like, ‘and,’ ‘so,’ or ‘then.’ For example, 
‘mii dash’ ‘and there’ (Valentine 2001:151). ",
ADVDub,A dubitative adverb,,"Dubitative adverbs express hesitation or uncertainty, like ‘evidentially’ or ‘it seems’ (Valentine 2001:830-831). ",
ADVGram,A grammatical adverb,,"Adverbs include time like ‘tomorrow’; location like ‘alongside’; manner like ‘barley’; circumstance like ‘on purpose,’ among other types (Valentine 2001:138-147).",
ADVInter,An interrogative adverb,,Adverbs used in questions like ‘na’ for ‘yes/no questions’ (Valentine 2001:146). ,
ADVLoc,An adverb of location,"here, there","Adverbs that express location or place like ‘here,’ ‘there,’ or ‘alongside’ (Valentine 2001:140).",
ADVMan,A manner adverb,"quickly, thoroughly",Adverbs that express manner like ‘quickly’ or ‘thoroughly’ (Valentine 2001:142).,
ADVNeg,A negative adverb,"ever, at all","Negative adverbs can be words with negative meanings like, ‘at all’ or ‘ever.’ The other kind makes something negative (negation like not) (Valentine 2001:145). ",
ADVPred,A predicative adverb,,Adverbs that connect more about the subject like ‘only later when’ (Valentine 2001:949). ,
ADVQnt,A quantifier,"some, all, most","Adverbs like ‘some,’ ‘all,’ ‘most,’ or ‘many’ (Valentine 2001:144).",
ADVTmp,A temporal adverb,"then, soon","Adverbs that express time such as ‘again,’ ‘today,’ ‘then,’ or ‘soon’ (Valentine 2001:140).",
DubPrt,Dubitative Preterit,preterit and dubitative: X has been completed and speaker doubts/needs to infer X,A way of conjugating verbs to express doubt or hesitation about something that has been finished in the past (Valentine 2001:798-799).,
Excl,First person plural exclusive,us ... not you,"First person plural excluding the listener (you), meaning we/us, not you.",
ExclObj,First person plural exclusive object,Y Xes us but not you,"The first person plural excluding the listener (you), meaning us, not you as the object. For example, “She called us (not you).”",
